package,downloads,stars,gallery,description,CRAN
ggplot2,159099092,NA,FALSE,Create Elegant Data Visualisations Using the Grammar of Graphics,TRUE
ggrepel,23345337,1228,TRUE,Automatically Position Non-Overlapping Text Labels with 'ggplot2',TRUE
cowplot,17969538,712,TRUE,Streamlined Plot Theme and Plot Annotations for 'ggplot2',TRUE
ggpubr,16228504,1154,TRUE,'ggplot2' Based Publication Ready Plots,TRUE
ggsci,12072118,676,TRUE,Scientific Journal and Sci-Fi Themed Color Palettes for 'ggplot2',TRUE
ggsignif,12007419,597,TRUE,Significance Brackets for 'ggplot2',TRUE
patchwork,7732489,2504,TRUE,NA,FALSE
ggmap,7276878,NA,FALSE,Spatial Visualization with ggplot2,TRUE
GGally,6718408,594,TRUE,Extension to 'ggplot2',TRUE
ggthemes,6224812,1326,TRUE,"Extra Themes, Scales and Geoms for 'ggplot2'",TRUE
ggforce,5186610,918,TRUE,Accelerating 'ggplot2',TRUE
ggridges,4852762,414,TRUE,Ridgeline Plots in 'ggplot2',TRUE
tidytext,4002048,NA,FALSE,"Text Mining using 'dplyr', 'ggplot2', and Other Tidy Tools",TRUE
ggraph,3650294,1083,TRUE,An Implementation of Grammar of Graphics for Graphs and Networks,TRUE
ggtext,3299854,657,TRUE,Improved Text Rendering Support for 'ggplot2',TRUE
hrbrthemes,2985553,1252,TRUE,"Additional Themes, Theme Components and Utilities for 'ggplot2'",TRUE
ggfortify,2900352,528,TRUE,Data Visualization Tools for Statistical Analysis Results,TRUE
waterfalls,2587261,NA,FALSE,Create Waterfall Charts using 'ggplot2' Simply,TRUE
survminer,2386700,521,TRUE,Drawing Survival Curves using 'ggplot2',TRUE
ggeffects,1827389,NA,FALSE,Create Tidy Data Frames of Marginal Effects for 'ggplot' from Model Outputs,TRUE
ggdendro,1820304,NA,FALSE,Create Dendrograms and Tree Diagrams Using 'ggplot2',TRUE
ggcorrplot,1786784,189,TRUE,Visualization of a Correlation Matrix using 'ggplot2',TRUE
ggplotify,1608433,NA,FALSE,Convert Plot to 'grob' or 'ggplot' Object,TRUE
ggfun,1484263,NA,FALSE,Miscellaneous Functions for 'ggplot2',TRUE
ggstance,1417333,201,TRUE,Horizontal 'ggplot2' Components,TRUE
